frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
99,6,[478.77795200895827 698.9495533891402 839.4157857891682 977.7098687321516],[603.9577026367188 875.4305419921875 714.4649658203125 918.5269775390625],0.359774411,GX15OGJ,0.807582597
100,6,[477.61199293580927 702.4921336436847 838.2720586376831 980.4833186567749],[600.2532348632812 873.1884155273438 712.3521118164062 918.563232421875],0.573355973,GX15OCJ,0.528358327
102,6,[473.81562135550814 709.4865343880568 837.194865094788 989.9513218873766],[604.6763305664062 885.9429931640625 704.3001708984375 927.463623046875],0.583641589,GX15OCJ,0.131595429
108,6,[467.11764982095985 729.9684777045834 834.2255749691293 1015.7910635529865],[595.156494140625 908.0070190429688 696.8363647460938 951.0576782226562],0.581222057,GY15OCJ,0.255177014
109,6,[465.0232472838243 731.1320569601827 832.0804588242852 1018.4968059666122],[584.1144409179688 909.0824584960938 695.5182495117188 955.5901489257812],0.591577232,GY15OGJ,0.240579644
110,6,[463.97489369081836 734.6988693012246 831.2272967858639 1023.8710409202828],[590.0980224609375 916.5054931640625 692.1502075195312 962.7284545898438],0.617459118,GX15OGJ,0.477441313
110,1,[1028.015776480422 563.6656322761035 1282.7781595960148 787.0232207055042],[1109.48779296875 700.6132202148438 1211.8685302734375 743.0877685546875],0.420493335,AP05JEQ,0.187713832
112,6,[462.02032391688783 742.0072445833946 830.5114073202079 1033.1395977877476],[583.6536865234375 920.117431640625 692.0310668945312 967.449462890625],0.586726904,GX15OCJ,0.755991221
113,6,[458.2946870246494 745.3836980975107 828.0947508324446 1038.1489680822192],[585.25927734375 929.578125 692.9051513671875 972.0267333984375],0.495398283,CX15OGJ,0.357389552
114,6,[454.43572302422115 749.297237035397 826.9306560963201 1044.0194357582284],[581.5076293945312 933.4048461914062 689.3524780273438 980.6222534179688],0.59331429,GX15OGJ,0.381569775
115,1,[1026.2764556428278 570.0289624337711 1288.2252318690716 795.9479540325401],[1110.3505859375 712.9281005859375 1214.4947509765625 756.186767578125],0.390933543,AF05JEQ,0.278215992
120,6,[441.60430746521365 768.1574535072638 824.617550288347 1062.3406117060338],[571.3251953125 957.2166137695312 685.7901000976562 1005.1744995117188],0.63391,GY15OCJ,0.600218355
120,1,[1025.8600164766763 580.49650724542 1292.6231894381285 809.9087675308803],[1120.3251953125 721.0054321289062 1218.1416015625 768.473876953125],0.415085465,JP05JEO,0.327730227
121,1,[1025.143612620031 581.5807164997701 1292.99393380921 812.1168189287581],[1109.1280517578125 722.3809814453125 1216.9771728515625 766.67529296875],0.42310822,AP05JEQ,0.252934089
122,6,[436.3948463994262 774.9510922100391 823.5097001933556 1069.929680163768],[569.2921752929688 965.6332397460938 680.6666259765625 1010.2857055664062],0.598806798,GY15OCJ,0.354961338
122,1,[1025.4275752182295 583.6060964257647 1294.2371945827897 815.3696488989383],[1108.259033203125 724.4030151367188 1215.025634765625 768.6881713867188],0.498771548,AP05JEQ,0.276265449
123,6,[434.4822897650801 779.026322829592 823.0326474105966 1073.7774623216617],[563.642578125 969.6646728515625 665.882568359375 1013.0203857421875],0.489343882,GY15CGJ,0.428002421
123,1,[1022.9705556516376 586.6578120970701 1293.4957367032878 818.720153731522],[1119.305419921875 734.1253051757812 1218.2318115234375 778.1002807617188],0.307478994,AP05JEO,0.705422214
124,1,[1021.0424283052281 587.9734991560729 1293.8584317615098 820.7472819540433],[1113.703857421875 731.69384765625 1212.147216796875 774.580810546875],0.260518014,AP05JEO,0.146987277
125,6,[431.5520675814597 784.8860373273301 823.4355694497693 1077.3386164591755],[568.92333984375 979.6181030273438 675.1015014648438 1026.393798828125],0.639220119,GX15OGJ,0.368152872
127,1,[1023.5897132435642 593.8940697771385 1298.2308861854362 827.202751052513],[1111.8336181640625 735.8551025390625 1224.3123779296875 779.1573486328125],0.489168853,AP05JEO,0.449456119
128,6,[422.6377584524804 797.788161491363 820.7017522840539 1078.8412202812133],[555.0042724609375 991.2197265625 666.4862060546875 1039.601806640625],0.600022912,GX15OGJ,0.431035764
130,6,[417.38365887535247 803.9941784771122 820.6658354291519 1077.6280264789004],[559.152099609375 1005.7285766601562 660.6747436523438 1049.79541015625],0.659897506,GX15OGJ,0.426616819
130,1,[1025.4197887702803 598.215001252589 1299.7952085344168 834.7788605054595],[1116.76611328125 743.1806640625 1214.8253173828125 784.147216796875],0.25078389,AP05JEO,0.142867516
131,6,[414.8663102604355 807.3354449275137 819.2513664403889 1077.7413953219618],[552.178466796875 1009.2306518554688 664.496337890625 1056.4556884765625],0.672842383,GX15OCJ,0.540446065
131,33,[1121.1927548678655 815.0600129053762 1490.0997391133433 1076.764669091138],[1251.2274169921875 999.3305053710938 1364.4658203125 1047.2777099609375],0.413407147,LM13VCV,0.318636114
131,1,[1024.301406424021 600.4079635698137 1300.3682238499682 837.54792643388],[1116.520751953125 746.6500854492188 1216.685302734375 786.6190795898438],0.270258337,AP05JEO,0.242575631
132,6,[415.17380318029916 811.9999573153162 819.2478859407464 1078.6429745617947],[546.8368530273438 1012.8697509765625 667.2086791992188 1062.9276123046875],0.674895942,GX15OGJ,0.280750308
132,1,[1023.3117619090256 603.0665982681992 1300.654852571318 840.5184263332922],[1115.611083984375 745.975341796875 1224.2193603515625 790.888916015625],0.42900151,AP05JED,0.420691006
133,6,[415.2704332639976 814.9579198116492 818.0118680692933 1078.8502923149763],[543.0514526367188 1015.0709838867188 661.7195434570312 1060.564208984375],0.659746885,GX15OGJ,0.408704507
134,6,[411.5871835925102 818.5804277223572 813.988689481308 1079.4943296924853],[545.7434692382812 1024.6728515625 665.682861328125 1071.3248291015625],0.647628069,GX15OGJ,0.490621758
134,33,[1121.4525050589048 825.5520978052384 1492.1215317770009 1078.2291150857636],[1255.384521484375 1009.2978515625 1368.649169921875 1062.1527099609375],0.63809526,LM13VCY,0.216870213
135,33,[1121.9416945123567 829.9805492536301 1494.122896436747 1079.8588167976861],[1257.3082275390625 1016.1925048828125 1372.391845703125 1067.9930419921875],0.633927047,LM13VCV,0.336033407
135,1,[1021.1961926703959 607.3868840521054 1303.1077326478237 845.5113499869749],[1130.4158935546875 754.6156005859375 1232.4698486328125 799.1294555664062],0.447723478,AP05JED,0.21317201
136,33,[1123.9201382577182 832.8255865861265 1496.4775371144199 1079.7569467374042],[1255.3245849609375 1016.6083374023438 1376.3116455078125 1072.18701171875],0.686001897,LM13YCN,0.584147249
136,1,[1021.7230341478813 609.1012217778183 1305.2521270182106 847.3580543343165],[1117.715087890625 754.1691284179688 1222.3148193359375 799.7407836914062],0.458414018,AP05JEO,0.861833468
137,1,[1022.0630865855678 610.999589784663 1306.9034517173955 850.3096975435286],[1124.2752685546875 758.4270629882812 1234.00341796875 808.0870971679688],0.636645198,AP05JEO,0.899202732
137,33,[1124.7584576842614 837.1613820445122 1497.8352692641188 1080.4847613881668],[1260.59033203125 1026.4793701171875 1376.3572998046875 1077.9127197265625],0.630717218,LR13VCV,0.24782985
137,6,[402.2287843810687 830.6168213224386 807.9028216718962 1082.4911401505312],[534.8935546875 1037.6627197265625 649.6671752929688 1080.0],0.565703392,GX15UGJ,0.153266667
137,8,[549.9480986532952 562.8917789449365 803.6259064168054 780.8098977240093],[627.2003784179688 688.39599609375 713.3319091796875 729.9034423828125],0.309919655,KH05ZTR,0.506682213
138,33,[1124.9058819519782 841.2519019585195 1498.1271982379558 1080.8012327705703],[1262.438232421875 1029.573974609375 1377.107666015625 1080.0],0.648315847,LA13VCV,0.305339571
138,1,[1021.8535588443871 614.030069840739 1307.8986824338676 853.626288577727],[1118.9293212890625 763.4452514648438 1231.951171875 803.7811889648438],0.590797901,JP05JEQ,0.384491415
139,1,[1023.4762331704227 615.7582872907519 1310.0558563327052 855.7745381159846],[1120.3961181640625 763.4732666015625 1221.4827880859375 802.4417724609375],0.541193485,AP05JEO,0.337888528
139,33,[1125.3703175323628 844.6509097356959 1499.1750213363773 1080.6592964091678],[1256.9605712890625 1030.530029296875 1375.931396484375 1080.0],0.469122678,LM13VCV,0.139787016
140,1,[1022.9685995397163 616.5591173312008 1311.1310042495074 858.5787021582543],[1135.9952392578125 771.2861938476562 1234.4122314453125 807.3220825195312],0.301260114,AP05JEQ,0.597306578
140,33,[1128.858811567001 849.7241076868273 1502.1804182000244 1080.9985614283798],[1257.640869140625 1036.6468505859375 1377.765625 1080.0],0.290775299,LM14VCY,0.130721978
140,8,[544.7852985106423 564.4506632651488 800.6183199472292 785.9471389750028],[626.1390380859375 694.9204711914062 710.6050415039062 735.7522583007812],0.257891446,LN05ZZX,0.149661698
141,1,[1022.9203298289133 618.5133968527387 1311.7516959745642 862.2977089058045],[1119.960205078125 768.849853515625 1222.3687744140625 811.0844116210938],0.384427786,XP05JEO,0.209610712
142,8,[540.3198978091474 568.2413991076405 796.4142384935959 789.8820312713233],[622.3767700195312 698.2518310546875 708.75244140625 741.4052734375],0.422773182,KH05ZIX,0.453550961
142,1,[1023.01116588466 619.5733683026868 1313.2227820177732 864.9445647315457],[1136.5865478515625 771.07177734375 1233.7745361328125 813.7891845703125],0.394744545,AP05JEO,0.410503133
143,1,[1020.9009904491362 621.2091655861234 1313.1327435529538 868.4441034626877],[1120.7127685546875 769.7872924804688 1229.486572265625 813.0921020507812],0.525109649,AP05JEO,0.175537195
143,8,[539.5015506859368 571.0903010034846 795.6638284667013 792.2638897303108],[623.4197998046875 700.7545776367188 704.47802734375 739.2481079101562],0.369906425,KH05ZZK,0.184527533
145,1,[1024.4007432715034 625.9195449134937 1318.599814915519 874.7287399717746],[1134.5701904296875 777.7423095703125 1234.976806640625 822.7963256835938],0.456042111,AP05JEO,0.7516298
146,8,[536.433209037649 575.7927105399181 793.2896168237444 798.5121566355515],[619.9645385742188 707.1624755859375 700.2645263671875 753.2026977539062],0.526157796,KK05ZZG,0.134172976
146,1,[1024.7354286200434 628.4166116079992 1318.8252063457207 878.0444435808732],[1120.728515625 780.9314575195312 1216.16015625 822.0206909179688],0.303663909,AP05JEO,0.766822755
147,1,[1025.8065483574815 630.719575295795 1320.187541946877 881.8100694505476],[1127.8099365234375 784.5496826171875 1239.8287353515625 830.1947631835938],0.501827896,AP05JEQ,0.235493507
148,1,[1025.6090772382163 632.3147666654261 1321.1243649509747 884.988699792279],[1123.747314453125 787.6190185546875 1231.9757080078125 826.8695068359375],0.503435373,KP05JEO,0.302522934
149,1,[1026.37201150245 634.3554848120752 1322.8846377857274 888.5187392640453],[1134.6298828125 794.775146484375 1228.9969482421875 832.7142333984375],0.429756463,AP05JED,0.458904901
149,8,[531.3837744923733 581.8868037712108 791.2553964970352 807.4665426509588],[613.9149780273438 707.137939453125 698.4268798828125 753.3709716796875],0.279643714,KR05ZIK,0.478153028
150,8,[530.3150037237527 584.0025650984925 791.169193635529 810.3736121463104],[613.8151245117188 713.0562744140625 695.9613647460938 755.8883056640625],0.445983261,KK05ZIK,0.335711168
150,1,[1026.6779067201778 636.9242639845498 1325.8593570983394 892.5417182558912],[1134.5604248046875 792.0726928710938 1216.711669921875 829.7850952148438],0.324466974,AP05JEC,0.21381311
151,8,[528.3556751349878 586.2472165508823 790.6164982122208 812.3938377351592],[612.4136352539062 714.91357421875 693.9645385742188 755.5340576171875],0.413912296,ER05ZZK,0.270126187
151,1,[1028.1695733572428 638.3331701407099 1329.730612539804 895.0023035956362],[1123.628662109375 791.9681396484375 1233.458251953125 832.2828369140625],0.330062985,AP05JEQ,0.346391536
152,1,[1022.9698425064554 640.1234795386819 1327.2244293386016 896.923432620934],[1126.3665771484375 794.55322265625 1229.605224609375 836.022216796875],0.474103749,AP05JEO,0.828444994
152,8,[527.4672988654813 587.3624010953715 790.6281769892157 813.7443332393304],[618.0202026367188 717.8892211914062 695.6719360351562 760.5989379882812],0.335909903,KM05ZIK,0.354393564
153,1,[1022.0615804042288 642.2759670048063 1327.1819653876867 899.7931964614052],[1132.3231201171875 796.9550170898438 1238.1214599609375 845.2846069335938],0.420811504,XP05JEO,0.086114073
154,1,[1022.4108468101759 643.2166645346845 1330.6405566340188 901.7702636194767],[1134.1260986328125 800.702880859375 1245.4183349609375 850.2096557617188],0.415616781,AP05JEO,0.131315162
155,1,[1023.3454449724309 645.384644195202 1334.001283099602 904.385605461974],[1132.853515625 804.0416259765625 1238.5694580078125 848.2632446289062],0.45630154,XP05JEO,0.300838318
156,8,[522.4728551766447 591.5789454372862 787.1486564473213 821.6820558979077],[606.5963745117188 727.8937377929688 694.171142578125 771.3924560546875],0.414699823,KR05ZZK,0.824713724
156,1,[1025.1910123697107 650.0397216388415 1335.4916217774726 909.287330209936],[1139.5167236328125 807.32958984375 1249.050048828125 850.7069091796875],0.408510476,XP05JED,0.084102742
157,1,[1024.043503965904 651.4489391411612 1334.165373252319 911.5712115457302],[1132.3392333984375 808.4177856445312 1245.572998046875 849.6948852539062],0.481784701,AP05JEO,0.273567868
158,1,[1022.8769086668257 652.9830563090558 1333.9810860667767 913.6263908234758],[1141.2564697265625 816.0926513671875 1249.020751953125 852.9700927734375],0.315174669,AP05JEO,0.284348413
159,1,[1024.2179507373833 655.4588490851681 1335.4849071526412 916.9219330247313],[1143.4969482421875 819.6768188476562 1244.0517578125 856.4407348632812],0.3486,AP05JEO,0.278747342
160,1,[1028.1877971872527 657.3951794794783 1337.0497936023253 919.3414159720736],[1141.0435791015625 816.022705078125 1240.430419921875 857.091064453125],0.351126641,XP05JED,0.077076143
161,1,[1028.932166006024 659.5110222295381 1337.4569814994752 922.1892524283404],[1132.372314453125 817.3547973632812 1251.3875732421875 859.5371704101562],0.543804228,AP05JEO,0.180012261
162,1,[1027.933114834782 662.584166783124 1337.8035443766735 926.4179307666515],[1140.420166015625 826.2548217773438 1235.180908203125 867.1411743164062],0.326882601,AP05JEO,0.289344358
163,1,[1029.330438930165 664.4637776480338 1339.9150118596697 929.4251867713483],[1135.83984375 826.8734130859375 1245.0616455078125 871.59765625],0.390636206,AP05JEO,0.24718459
164,1,[1030.3389131552724 666.5888470452712 1340.9751914265296 933.3928597367681],[1138.5556640625 830.4335327148438 1247.1588134765625 875.7757568359375],0.484959036,AP05JEO,0.620381174
165,1,[1033.9790554419592 668.9730009096778 1343.224659760956 937.5171133003988],[1140.5369873046875 834.4515380859375 1257.12939453125 875.5264892578125],0.564979196,AP05JEO,0.65887763
165,8,[512.3590321203031 608.3529380400405 783.7805628763409 842.592582998514],[609.0422973632812 751.62451171875 689.2940673828125 789.431396484375],0.451543838,KN05ZIK,0.28754597
166,8,[511.6500638128858 609.869338550362 783.8633820341952 844.5589077554334],[600.2166748046875 750.7036743164062 688.4083251953125 795.6729125976562],0.58327949,KH05ZTK,0.336979822
166,1,[1030.1305819011354 671.6354771919182 1341.2648897890645 940.6615819005217],[1143.6767578125 839.3199462890625 1245.013916015625 877.4600830078125],0.342781574,AP05JEQ,0.201881312
167,8,[511.21492440103174 613.3269892134192 784.3992162263446 848.9306530777187],[596.8157958984375 752.6023559570312 688.0794677734375 798.1258544921875],0.592653155,KH05ZIK,0.360069176
170,1,[1039.7767818107552 680.1212347719336 1348.7298927139793 950.8311062196715],[1142.5030517578125 850.2279052734375 1249.7537841796875 894.2448120117188],0.549669564,AP05JEO,0.09058516
171,8,[504.2745343536248 622.4316227716495 780.7215610987525 859.6200442642798],[598.2073974609375 759.6112060546875 685.4384765625 805.56884765625],0.57462281,KN15ZZK,0.030000729
172,1,[1036.3911632790137 687.1974487185403 1350.3617514138878 958.8617150876519],[1146.1806640625 853.3683471679688 1265.96533203125 900.2411499023438],0.577373505,AP05JEO,0.606834667
173,8,[502.3615561272816 627.4225640869773 779.6549501290431 863.295365211127],[593.98095703125 766.6276245117188 683.616943359375 811.9238891601562],0.568097413,KH05ZZK,0.117500427
173,1,[1038.811804356212 689.391367301234 1352.7349925805427 961.8896281276728],[1147.2628173828125 860.5101928710938 1256.323974609375 901.6078491210938],0.473623812,AP05JEO,0.44727498
174,1,[1042.1695400816036 693.0565014745754 1354.8310251085766 965.8193248030515],[1146.85693359375 865.3299560546875 1269.8228759765625 908.6380615234375],0.434820026,AP05JEO,0.797762772
175,8,[501.1299392370897 634.1564873472762 779.5993974523176 870.2143573401468],[593.2985229492188 773.3519897460938 682.868408203125 817.6776123046875],0.580020607,MN05ZZK,0.198456291
175,1,[1041.4543315101816 696.6613817339042 1354.4898239358424 969.5552500497078],[1153.8956298828125 862.5032958984375 1265.599853515625 909.2457275390625],0.409787774,AP05JEO,0.507348254
176,1,[1039.4146087818651 699.4169940360191 1354.2216198652338 972.3533019548368],[1143.43798828125 868.6641235351562 1240.6533203125 909.4087524414062],0.558520317,AP05JEC,0.184170329
178,1,[1044.0454242075416 705.5193543418476 1361.763676745817 979.9564702807467],[1146.255126953125 874.5448608398438 1256.333740234375 920.0901489257812],0.419302732,AP05JEO,0.473364929
179,1,[1045.156445644706 707.9937596255428 1365.026088220426 983.4955474920074],[1144.613525390625 879.082763671875 1274.370849609375 922.979736328125],0.443187356,AP05JEO,0.649946001
180,1,[1046.1826013536997 710.9125537330046 1366.4474937775035 988.0985347425051],[1153.0904541015625 882.8369750976562 1261.9583740234375 926.1800537109375],0.543843269,JP05JEO,0.182590557
181,8,[493.6722679177765 644.265812311231 773.0047272564718 886.8486325265949],[587.7115478515625 789.3138427734375 675.51708984375 831.317138671875],0.549176395,KH05ZZK,0.295961617
181,1,[1047.3336168122653 713.347764351784 1367.6392305615939 992.1829103631924],[1151.9071044921875 890.14697265625 1257.2161865234375 928.6575317382812],0.305099696,AP05JEO,0.154154508
182,8,[492.91576981745754 647.5047304691069 772.7316579426082 890.720759274801],[583.8019409179688 791.3497924804688 675.2158813476562 837.3341674804688],0.624697506,XH05ZZX,0.443676195
183,8,[490.7340427421276 650.6153864702848 770.3559071089566 894.4286215585199],[582.06396484375 796.8592529296875 675.1280517578125 841.3297119140625],0.614118397,KH05ZZK,0.692554525
183,1,[1045.177850538144 716.6140769315903 1374.3428132061795 998.0206875464607],[1148.1602783203125 891.9254760742188 1258.1044921875 934.2418823242188],0.502314091,AP05JEO,0.627683128
184,1,[1045.3296788216865 719.4254670190932 1376.977907401206 1000.8312080759662],[1153.7918701171875 889.1731567382812 1273.763916015625 939.2433471679688],0.620916069,AP05JEQ,0.70599707
185,1,[1045.909159927177 722.5606858378356 1379.4570559768308 1004.8781410566488],[1162.284423828125 899.78173828125 1275.7193603515625 945.7935791015625],0.591856956,AP05JEO,0.324939895
186,1,[1047.1888575191883 726.3748489481195 1382.9996317057771 1010.0098988950181],[1155.0875244140625 902.6605834960938 1281.1907958984375 948.1102905273438],0.561333239,AP05JEO,0.534097423
188,8,[483.02541703390307 659.6794663363223 766.3188594497931 909.9322673203553],[576.374267578125 808.305908203125 671.4869384765625 852.7122802734375],0.591214001,YH05ZZK,0.219711748
189,1,[1045.564931451213 736.6684385047895 1384.275587697352 1022.4170694971417],[1159.921875 914.8742065429688 1270.0989990234375 956.6390991210938],0.582597315,AP05JEO,0.543244373
190,1,[1045.628130123394 739.3292291979458 1386.1975297367662 1025.8263595978517],[1147.7354736328125 910.911865234375 1274.6514892578125 959.4005737304688],0.308782578,AP05JEO,0.44255198
191,1,[1044.805436546094 743.4822835310097 1386.1122592268553 1030.9173634782376],[1161.6566162109375 918.4663696289062 1277.281494140625 967.4679565429688],0.607390225,AP05JEO,0.638897306
191,8,[474.6588223836732 669.9986610949259 765.4424241618462 922.0537729841833],[572.1190795898438 820.6561889648438 663.8377075195312 864.9841918945312],0.598611891,RH05ZZK,0.132363407
192,8,[472.24496091407343 672.8787466986312 764.5659763985014 924.9342724602573],[573.908447265625 822.6612548828125 664.260009765625 866.857421875],0.622343898,RH05ZZK,0.544311048
192,1,[1044.1955021818271 748.1740269406304 1387.6885224445623 1035.8817926178328],[1158.611572265625 928.6473999023438 1281.2047119140625 971.1956176757812],0.54566747,AP05JEO,0.147295149
193,8,[471.8263883258036 674.4261195859231 764.660363037519 926.7938586288622],[570.8562622070312 826.3606567382812 663.9439697265625 871.7250366210938],0.579296589,RH05ZZK,0.611992261
193,1,[1045.401203847486 751.0615582228368 1389.419604170757 1039.5748399970032],[1163.3038330078125 928.8896484375 1281.6358642578125 971.4407958984375],0.486628324,AP05JEO,0.24771644
194,1,[1045.1187601329793 753.4317541413751 1391.237806450631 1042.8424319481537],[1171.5406494140625 936.6542358398438 1287.6185302734375 978.6395874023438],0.572355926,AP05JEO,0.465311036
195,1,[1046.945612180453 756.3148910100973 1393.0170997444513 1046.4083941221045],[1169.515869140625 937.5709228515625 1290.5885009765625 979.5185546875],0.626218617,AP05JEO,0.613704683
196,1,[1046.871741690888 758.6313640748771 1392.2029488629573 1048.8586506451454],[1165.27734375 938.8045043945312 1282.0135498046875 983.2061157226562],0.646908224,AP05JED,0.882161455
197,8,[466.9699413607419 685.4302609491283 762.5852215433723 941.3553054277595],[563.9821166992188 840.25341796875 660.0524291992188 883.859619140625],0.617747724,KH05ZZF,0.052630588
198,1,[1049.0377702335359 764.8097178610951 1400.8128257284461 1057.8001054405745],[1175.9677734375 953.391357421875 1306.8848876953125 994.1070556640625],0.469862938,AP05JEO,0.506383651
199,8,[465.057989064439 688.9568259702689 763.0882595442126 947.9379275807269],[559.8922119140625 845.4622802734375 654.579345703125 887.26708984375],0.587761521,KH05ZZK,0.78509991
199,1,[1050.8089696566237 767.7025703260192 1405.2611007845146 1061.3309230844352],[1169.251220703125 954.7467041015625 1297.6387939453125 996.5628662109375],0.573520958,AP05JEO,0.79341093
200,1,[1049.29624846396 770.2878721553203 1405.809260605559 1064.308293932253],[1173.0067138671875 957.401611328125 1281.29931640625 998.0892944335938],0.479982167,AP05JEO,0.694832677
201,8,[460.80146021656066 696.4126746342956 761.0397918449319 957.1919348507761],[553.9629516601562 851.7650756835938 651.6112060546875 897.223388671875],0.634815931,WH05ZIK,0.176864359
201,1,[1050.6548922999643 773.8238145127839 1409.7326361535954 1068.294095620445],[1187.51318359375 963.2354736328125 1310.036376953125 1001.5559692382812],0.371730208,AP05JEQ,0.844267445
202,8,[458.74486917397303 698.8486994136534 759.9944514339279 959.9110564896949],[552.89208984375 852.1483154296875 651.3521118164062 899.703369140625],0.649000287,KH05ZZK,0.343766861
203,8,[457.2609697588297 701.7894208379372 759.3899408806695 963.1542256835215],[556.1103515625 857.46533203125 648.7029418945312 900.287109375],0.595951438,KH05ZZK,0.242059757
203,1,[1051.6713992639993 779.4357280611658 1414.7830305558273 1073.3917726531472],[1183.4183349609375 967.181396484375 1303.1905517578125 1017.0441284179688],0.581711352,AP05JEO,0.290498621
204,8,[454.24508866394274 705.2401024448618 758.4782121282434 967.5111027668056],[552.2512817382812 861.8734130859375 647.5904541015625 906.9254150390625],0.602511644,KH05ZZK,0.192695644
